"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 18 01:34:53 UTC 2024","Thu Apr 18 01:35:01 UTC 2024","8144","tests.integration","test_charm","","","","test_password_rotation","Rotate password and confirm changes."
"passed","Thu Apr 18 01:33:37 UTC 2024","Thu Apr 18 01:34:53 UTC 2024","75815","tests.integration","test_charm","","","","test_scale_up_after_scale_down","Confirm storage reuse works."
"passed","Thu Apr 18 01:33:13 UTC 2024","Thu Apr 18 01:35:48 UTC 2024","155320","tests.integration.high_availability","test_replication","","","","test_scaling_without_data_loss","Test to ensure that data is preserved when a unit is scaled up and then down.

    Ensures that there are no running continuous writes as the extra data in the
    database makes scaling up slower.
    "
"passed","Thu Apr 18 01:33:17 UTC 2024","Thu Apr 18 01:37:23 UTC 2024","245753","tests.integration.high_availability","test_upgrade","","","","test_fail_and_rollback",""
"skipped","Thu Apr 18 01:28:29 UTC 2024","Thu Apr 18 01:28:29 UTC 2024","0","tests.integration","test_tls","","","","test_rotate_tls_key","Verify rotating tls private keys restarts cluster with new certificates.

    This test rotates tls private keys to randomly generated keys.
    "
"passed","Thu Apr 18 01:35:24 UTC 2024","Thu Apr 18 01:35:38 UTC 2024","13470","tests.integration","test_charm","","","","test_custom_variables","Query database for custom variables."
"passed","Thu Apr 18 01:48:55 UTC 2024","Thu Apr 18 01:52:08 UTC 2024","192766","tests.integration.high_availability","test_self_healing","","","","test_single_unit_pod_delete","Delete the pod in a single unit deployment and write data to new pod."
"passed","Thu Apr 18 01:35:38 UTC 2024","Thu Apr 18 01:35:45 UTC 2024","7081","tests.integration","test_charm","","","","test_log_rotation","Test the log rotation of text files."
"passed","Thu Apr 18 01:35:20 UTC 2024","Thu Apr 18 01:35:24 UTC 2024","3957","tests.integration","test_charm","","","","test_exporter_endpoints","Test that endpoints are running."
"passed","Thu Apr 18 01:28:11 UTC 2024","Thu Apr 18 01:31:17 UTC 2024","185767","tests.integration.high_availability","test_replication","","","","test_build_and_deploy","Simple test to ensure that the mysql and application charms get deployed."
"passed","Thu Apr 18 01:35:50 UTC 2024","Thu Apr 18 01:39:22 UTC 2024","211641","tests.integration.high_availability","test_replication","","","","test_kill_primary_check_reelection","Test to kill the primary under load and ensure re-election of primary."
"passed","Thu Apr 18 01:28:02 UTC 2024","Thu Apr 18 01:30:56 UTC 2024","174605","tests.integration.high_availability","test_self_healing","","","","test_build_and_deploy","Simple test to ensure that the mysql and application charms get deployed."
"passed","Thu Apr 18 01:28:02 UTC 2024","Thu Apr 18 01:31:17 UTC 2024","195393","tests.integration.relations","test_mysql_root","","","","test_deploy_and_relate_osm_bundle","Test the deployment and relation with osm bundle with mysql replacing mariadb."
"skipped","Thu Apr 18 01:28:29 UTC 2024","Thu Apr 18 01:28:29 UTC 2024","0","tests.integration","test_tls","","","","test_connection_before_tls","Ensure connections (with and without ssl) are possible before relating with TLS operator."
"passed","Thu Apr 18 01:27:54 UTC 2024","Thu Apr 18 01:30:16 UTC 2024","141707","tests.integration.relations","test_database","","","","test_build_and_deploy","Build the charm and deploy 3 units to ensure a cluster is formed."
